,表达式,fitness,代数,OOB fitness,训练集IC,样本外IC,训练集IR,样本外IR,训练集RankIC,样本外RankIC
28,"dynamic_ts_mean(成交量,46)",0.021212673855158064,0,0.009352630991330033,-0.021212673855158064,-0.009352630991330033,0.05701158240830374,0.030859208859192293,0.007924016013659727,-0.018145772181376606
29,"dynamic_ts_max(common_mul(成交量, 最高价),38)",0.03829744104145764,0,0.0011359637003692503,-0.03829744104145764,-0.0011359637003692503,0.12802163081865345,0.003696335851844127,-0.014751039922080189,-0.034131633105559105
30,"common_add(common_mul(成交量, 收盘价), common_add(成交量, 收盘价))",0.035102518098817995,0,0.017469933009618275,-0.035102518098817995,-0.017469933009618275,0.08560724827072944,0.05380293587742189,-0.011496022545465443,-0.03567662819429636
31,"common_abs(common_mul(成交额, 成交量))",0.031801454297767706,0,0.020987953031709836,-0.031801454297767706,-0.020987953031709836,0.0760870195190098,0.0684860044128196,-0.011442153112934754,-0.041405502560602485
32,"common_add(成交额, -0.093)",0.03685381946717766,0,0.01361263435916147,-0.03685381946717766,-0.01361263435916147,0.09110853237799178,0.041513317398337385,-0.01214551758565678,-0.03324687162725465
33,"common_max(common_add(开盘价, 收盘价), common_sqrt(成交额))",0.03353863397595095,0,0.01307916344235972,-0.03353863397595095,-0.01307916344235972,0.08671131441644805,0.040285392735511655,-0.01214551758565678,-0.03324687162725465
34,"dynamic_ts_max(common_max(common_min(最低价, 收盘价), common_add(成交额, -0.793)),23)",0.02713038384253027,0,0.008695855311257376,-0.02713038384253027,-0.008695855311257376,0.07862176632555982,0.027696696752529067,0.00554031766066896,-0.010520489186362574
35,"common_add(common_log(收盘价), common_sub(最高价, 成交额))",0.03685381973366281,0,0.01361263602242221,0.03685381973366281,0.01361263602242221,0.0911085329330905,0.04151332260363454,0.01214551758565678,0.03324687162725465
36,"common_mul(common_add(common_inv(最低价), 成交额), dynamic_ts_max(-0.824,90))",0.023734644624626988,0,0.013612634390410588,0.023734644624626988,0.013612634390410588,0.06486646473790003,0.04151331749351374,-0.009495030723959061,0.03324687162725465
37,"common_min(common_abs(成交量), common_add(成交量, -0.032))",0.02134978141662425,0,0.028951115694457148,-0.02134978141662425,-0.028951115694457148,0.05069152524312565,0.09666247246140755,-0.009950040061329797,-0.044455587674968995
38,"common_min(common_sqrt(0.627), common_log(开盘价))",0.035667136655808944,0,0.013556122486602889,-0.035667136655808944,0.013556122486602889,0.20257468365976677,0.0584734021254769,-0.053739522091587694,0.012298800962818945
39,"dynamic_ts_std(common_max(common_sub(开盘价, 收盘价), common_add(成交额, 0.554)),18)",0.026982591027802153,0,0.02121565570274883,-0.026982591027802153,-0.02121565570274883,0.06719757374976981,0.06601697714014414,-0.009637558719561437,-0.026848045611924873
40,"common_max(成交额, 开盘价)",0.03685381946717767,0,0.01361263435916147,-0.03685381946717767,-0.01361263435916147,0.0911085323779918,0.04151331739833738,-0.01214551758565678,-0.03324687162725465
41,"common_add(最低价, 成交量)",0.021349780461285453,0,0.02895110899194751,-0.021349780461285453,-0.02895110899194751,0.05069152295001496,0.09666245293043778,-0.009950040061329797,-0.044455587674968995
42,"common_max(common_min(common_sub(成交额, 开盘价), common_log(成交额)), common_mul(common_inv(-0.729), common_max(收盘价, 成交额)))",0.02806443728290474,0,0.013237789739273694,-0.02806443728290474,-0.013237789739273694,0.08174239545418104,0.041888850025570044,-0.01214551758565678,-0.03324687162725465
43,"common_abs(dynamic_ts_max(最低价,26))",0.02552751105558911,0,0.02307753200890339,0.02552751105558911,0.02307753200890339,0.07164027135107977,0.06361243092175249,-0.013187873405945887,-0.0014435434461803032
44,common_inv(common_abs(common_tan(开盘价))),0.020157356727104333,0,0.026855294675593576,0.020157356727104333,0.026855294675593576,0.07809007171241715,0.10990576152900249,-0.0065165022441442556,-0.006301730583659214
45,"common_max(开盘价, 成交量)",0.021349781416624254,0,0.02895111569445714,-0.021349781416624254,-0.02895111569445714,0.05069152524312565,0.09666247246140756,-0.009950040061329797,-0.044455587674968995
